"Step","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"345","0.625","0.625","0.625","0.629","0.629","0.629","0.627","0.627","0.627","0.834","0.834","0.834","0.835","0.835","0.835","0.739","0.739","0.739","0.856","0.856","0.856","0.829","0.829","0.829","0.713","0.713","0.713","0.739","0.739","0.739","0.742","0.742","0.742","0.569","0.569","0.569"
"346","0.579","0.579","0.579","0.624","0.624","0.624","0.637","0.637","0.637","0.854","0.854","0.854","0.807","0.807","0.807","0.724","0.724","0.724","0.827","0.827","0.827","0.805","0.805","0.805","0.716","0.716","0.716","0.711","0.711","0.711","0.725","0.725","0.725","0.579","0.579","0.579"
"347","0.593","0.593","0.593","0.636","0.636","0.636","0.483","0.483","0.483","0.849","0.849","0.849","0.815","0.815","0.815","0.739","0.739","0.739","0.844","0.844","0.844","0.813","0.813","0.813","0.77","0.77","0.77","0.73","0.73","0.73","0.734","0.734","0.734","0.552","0.552","0.552"
"348","0.621","0.621","0.621","0.598","0.598","0.598","0.65","0.65","0.65","0.85","0.85","0.85","0.789","0.789","0.789","0.762","0.762","0.762","0.835","0.835","0.835","0.811","0.811","0.811","0.679","0.679","0.679","0.688","0.688","0.688","0.69","0.69","0.69","0.389","0.389","0.389"
"349","0.62","0.62","0.62","0.638","0.638","0.638","0.409","0.409","0.409","0.83","0.83","0.83","0.817","0.817","0.817","0.712","0.712","0.712","0.812","0.812","0.812","0.816","0.816","0.816","0.741","0.741","0.741","0.704","0.704","0.704","0.722","0.722","0.722","0.525","0.525","0.525"
"350","0.608","0.608","0.608","0.662","0.662","0.662","0.548","0.548","0.548","0.847","0.847","0.847","0.786","0.786","0.786","0.753","0.753","0.753","0.85","0.85","0.85","0.804","0.804","0.804","0.724","0.724","0.724","0.731","0.731","0.731","0.698","0.698","0.698","0.531","0.531","0.531"
"351","0.627","0.627","0.627","0.607","0.607","0.607","0.486","0.486","0.486","0.859","0.859","0.859","0.767","0.767","0.767","0.705","0.705","0.705","0.821","0.821","0.821","0.809","0.809","0.809","0.754","0.754","0.754","0.703","0.703","0.703","0.647","0.647","0.647","0.541","0.541","0.541"
"352","0.624","0.624","0.624","0.695","0.695","0.695","0.608","0.608","0.608","0.843","0.843","0.843","0.777","0.777","0.777","0.764","0.764","0.764","0.806","0.806","0.806","0.791","0.791","0.791","0.703","0.703","0.703","0.706","0.706","0.706","0.694","0.694","0.694","0.554","0.554","0.554"
"353","0.639","0.639","0.639","0.569","0.569","0.569","0.476","0.476","0.476","0.832","0.832","0.832","0.824","0.824","0.824","0.646","0.646","0.646","0.85","0.85","0.85","0.795","0.795","0.795","0.543","0.543","0.543","0.747","0.747","0.747","0.721","0.721","0.721","0.348","0.348","0.348"
"354","0.615","0.615","0.615","0.636","0.636","0.636","0.635","0.635","0.635","0.854","0.854","0.854","0.818","0.818","0.818","0.721","0.721","0.721","0.834","0.834","0.834","0.814","0.814","0.814","0.751","0.751","0.751","0.743","0.743","0.743","0.713","0.713","0.713","0.556","0.556","0.556"
"355","0.594","0.594","0.594","0.687","0.687","0.687","0.57","0.57","0.57","0.836","0.836","0.836","0.826","0.826","0.826","0.718","0.718","0.718","0.829","0.829","0.829","0.806","0.806","0.806","0.65","0.65","0.65","0.714","0.714","0.714","0.714","0.714","0.714","0.419","0.419","0.419"
"356","0.583","0.583","0.583","0.618","0.618","0.618","0.572","0.572","0.572","0.842","0.842","0.842","0.835","0.835","0.835","0.729","0.729","0.729","0.821","0.821","0.821","0.834","0.834","0.834","0.697","0.697","0.697","0.714","0.714","0.714","0.713","0.713","0.713","0.468","0.468","0.468"
"357","0.64","0.64","0.64","0.647","0.647","0.647","0.578","0.578","0.578","0.853","0.853","0.853","0.835","0.835","0.835","0.747","0.747","0.747","0.82","0.82","0.82","0.818","0.818","0.818","0.617","0.617","0.617","0.733","0.733","0.733","0.742","0.742","0.742","0.459","0.459","0.459"
"358","0.626","0.626","0.626","0.565","0.565","0.565","0.652","0.652","0.652","0.85","0.85","0.85","0.84","0.84","0.84","0.735","0.735","0.735","0.827","0.827","0.827","0.814","0.814","0.814","0.71","0.71","0.71","0.723","0.723","0.723","0.759","0.759","0.759","0.483","0.483","0.483"
"359","0.662","0.662","0.662","0.661","0.661","0.661","0.559","0.559","0.559","0.846","0.846","0.846","0.829","0.829","0.829","0.707","0.707","0.707","0.835","0.835","0.835","0.829","0.829","0.829","0.742","0.742","0.742","0.726","0.726","0.726","0.752","0.752","0.752","0.504","0.504","0.504"
"360","0.648","0.648","0.648","0.651","0.651","0.651","0.499","0.499","0.499","0.859","0.859","0.859","0.846","0.846","0.846","0.629","0.629","0.629","0.799","0.799","0.799","0.83","0.83","0.83","0.703","0.703","0.703","0.704","0.704","0.704","0.777","0.777","0.777","0.492","0.492","0.492"
"361","0.621","0.621","0.621","0.661","0.661","0.661","0.528","0.528","0.528","0.835","0.835","0.835","0.814","0.814","0.814","0.714","0.714","0.714","0.848","0.848","0.848","0.839","0.839","0.839","0.744","0.744","0.744","0.746","0.746","0.746","0.764","0.764","0.764","0.491","0.491","0.491"
"362","0.608","0.608","0.608","0.662","0.662","0.662","0.635","0.635","0.635","0.818","0.818","0.818","0.819","0.819","0.819","0.675","0.675","0.675","0.847","0.847","0.847","0.815","0.815","0.815","0.652","0.652","0.652","0.739","0.739","0.739","0.758","0.758","0.758","0.379","0.379","0.379"
"363","0.65","0.65","0.65","0.614","0.614","0.614","0.536","0.536","0.536","0.86","0.86","0.86","0.812","0.812","0.812","0.591","0.591","0.591","0.817","0.817","0.817","0.83","0.83","0.83","0.689","0.689","0.689","0.729","0.729","0.729","0.763","0.763","0.763","0.468","0.468","0.468"
"364","0.64","0.64","0.64","0.669","0.669","0.669","0.682","0.682","0.682","0.822","0.822","0.822","0.78","0.78","0.78","0.646","0.646","0.646","0.837","0.837","0.837","0.794","0.794","0.794","0.725","0.725","0.725","0.764","0.764","0.764","0.695","0.695","0.695","0.489","0.489","0.489"
"365","0.633","0.633","0.633","0.673","0.673","0.673","0.608","0.608","0.608","0.862","0.862","0.862","0.803","0.803","0.803","0.762","0.762","0.762","0.812","0.812","0.812","0.814","0.814","0.814","0.686","0.686","0.686","0.731","0.731","0.731","0.713","0.713","0.713","0.472","0.472","0.472"
"366","0.635","0.635","0.635","0.654","0.654","0.654","0.552","0.552","0.552","0.815","0.815","0.815","0.814","0.814","0.814","0.775","0.775","0.775","0.831","0.831","0.831","0.83","0.83","0.83","0.744","0.744","0.744","0.714","0.714","0.714","0.75","0.75","0.75","0.61","0.61","0.61"
"367","0.618","0.618","0.618","0.654","0.654","0.654","0.622","0.622","0.622","0.842","0.842","0.842","0.821","0.821","0.821","0.777","0.777","0.777","0.848","0.848","0.848","0.821","0.821","0.821","0.724","0.724","0.724","0.728","0.728","0.728","0.756","0.756","0.756","0.585","0.585","0.585"
"368","0.664","0.664","0.664","0.66","0.66","0.66","0.71","0.71","0.71","0.84","0.84","0.84","0.813","0.813","0.813","0.689","0.689","0.689","0.83","0.83","0.83","0.802","0.802","0.802","0.727","0.727","0.727","0.712","0.712","0.712","0.73","0.73","0.73","0.555","0.555","0.555"
"369","0.637","0.637","0.637","0.685","0.685","0.685","0.357","0.357","0.357","0.839","0.839","0.839","0.835","0.835","0.835","0.747","0.747","0.747","0.824","0.824","0.824","0.818","0.818","0.818","0.743","0.743","0.743","0.697","0.697","0.697","0.735","0.735","0.735","0.566","0.566","0.566"
"370","0.6","0.6","0.6","0.621","0.621","0.621","0.478","0.478","0.478","0.848","0.848","0.848","0.838","0.838","0.838","0.718","0.718","0.718","0.833","0.833","0.833","0.809","0.809","0.809","0.649","0.649","0.649","0.729","0.729","0.729","0.732","0.732","0.732","0.46","0.46","0.46"
"371","0.626","0.626","0.626","0.663","0.663","0.663","0.41","0.41","0.41","0.835","0.835","0.835","0.819","0.819","0.819","0.776","0.776","0.776","0.813","0.813","0.813","0.804","0.804","0.804","0.699","0.699","0.699","0.686","0.686","0.686","0.726","0.726","0.726","0.516","0.516","0.516"
"372","0.647","0.647","0.647","0.668","0.668","0.668","0.556","0.556","0.556","0.845","0.845","0.845","0.82","0.82","0.82","0.78","0.78","0.78","0.839","0.839","0.839","0.795","0.795","0.795","0.678","0.678","0.678","0.723","0.723","0.723","0.727","0.727","0.727","0.415","0.415","0.415"
"373","0.633","0.633","0.633","0.657","0.657","0.657","0.601","0.601","0.601","0.856","0.856","0.856","0.854","0.854","0.854","0.792","0.792","0.792","0.805","0.805","0.805","0.855","0.855","0.855","0.727","0.727","0.727","0.718","0.718","0.718","0.784","0.784","0.784","0.557","0.557","0.557"
"374","0.652","0.652","0.652","0.635","0.635","0.635","0.564","0.564","0.564","0.838","0.838","0.838","0.796","0.796","0.796","0.786","0.786","0.786","0.826","0.826","0.826","0.838","0.838","0.838","0.622","0.622","0.622","0.729","0.729","0.729","0.73","0.73","0.73","0.396","0.396","0.396"
"375","0.631","0.631","0.631","0.642","0.642","0.642","0.589","0.589","0.589","0.847","0.847","0.847","0.834","0.834","0.834","0.704","0.704","0.704","0.83","0.83","0.83","0.812","0.812","0.812","0.756","0.756","0.756","0.725","0.725","0.725","0.731","0.731","0.731","0.598","0.598","0.598"
"376","0.592","0.592","0.592","0.641","0.641","0.641","0.588","0.588","0.588","0.831","0.831","0.831","0.85","0.85","0.85","0.787","0.787","0.787","0.821","0.821","0.821","0.839","0.839","0.839","0.665","0.665","0.665","0.749","0.749","0.749","0.762","0.762","0.762","0.497","0.497","0.497"
"377","0.653","0.653","0.653","0.569","0.569","0.569","0.574","0.574","0.574","0.841","0.841","0.841","0.836","0.836","0.836","0.709","0.709","0.709","0.84","0.84","0.84","0.829","0.829","0.829","0.563","0.563","0.563","0.739","0.739","0.739","0.745","0.745","0.745","0.374","0.374","0.374"
"378","0.663","0.663","0.663","0.678","0.678","0.678","0.504","0.504","0.504","0.819","0.819","0.819","0.845","0.845","0.845","0.758","0.758","0.758","0.829","0.829","0.829","0.824","0.824","0.824","0.69","0.69","0.69","0.722","0.722","0.722","0.727","0.727","0.727","0.416","0.416","0.416"
"379","0.633","0.633","0.633","0.72","0.72","0.72","0.624","0.624","0.624","0.836","0.836","0.836","0.825","0.825","0.825","0.757","0.757","0.757","0.817","0.817","0.817","0.831","0.831","0.831","0.746","0.746","0.746","0.711","0.711","0.711","0.741","0.741","0.741","0.547","0.547","0.547"
"380","0.636","0.636","0.636","0.654","0.654","0.654","0.523","0.523","0.523","0.849","0.849","0.849","0.829","0.829","0.829","0.679","0.679","0.679","0.822","0.822","0.822","0.829","0.829","0.829","0.795","0.795","0.795","0.725","0.725","0.725","0.758","0.758","0.758","0.653","0.653","0.653"
"381","0.648","0.648","0.648","0.653","0.653","0.653","0.552","0.552","0.552","0.855","0.855","0.855","0.825","0.825","0.825","0.744","0.744","0.744","0.845","0.845","0.845","0.813","0.813","0.813","0.676","0.676","0.676","0.725","0.725","0.725","0.75","0.75","0.75","0.45","0.45","0.45"
"382","0.663","0.663","0.663","0.675","0.675","0.675","0.494","0.494","0.494","0.856","0.856","0.856","0.827","0.827","0.827","0.709","0.709","0.709","0.853","0.853","0.853","0.815","0.815","0.815","0.728","0.728","0.728","0.731","0.731","0.731","0.734","0.734","0.734","0.53","0.53","0.53"
"383","0.636","0.636","0.636","0.678","0.678","0.678","0.57","0.57","0.57","0.857","0.857","0.857","0.837","0.837","0.837","0.764","0.764","0.764","0.823","0.823","0.823","0.823","0.823","0.823","0.805","0.805","0.805","0.729","0.729","0.729","0.77","0.77","0.77","0.638","0.638","0.638"
"384","0.68","0.68","0.68","0.659","0.659","0.659","0.573","0.573","0.573","0.825","0.825","0.825","0.813","0.813","0.813","0.679","0.679","0.679","0.823","0.823","0.823","0.769","0.769","0.769","0.72","0.72","0.72","0.722","0.722","0.722","0.741","0.741","0.741","0.554","0.554","0.554"
"385","0.654","0.654","0.654","0.629","0.629","0.629","0.58","0.58","0.58","0.863","0.863","0.863","0.846","0.846","0.846","0.748","0.748","0.748","0.859","0.859","0.859","0.835","0.835","0.835","0.641","0.641","0.641","0.739","0.739","0.739","0.759","0.759","0.759","0.509","0.509","0.509"
"386","0.628","0.628","0.628","0.728","0.728","0.728","0.571","0.571","0.571","0.831","0.831","0.831","0.836","0.836","0.836","0.704","0.704","0.704","0.828","0.828","0.828","0.841","0.841","0.841","0.758","0.758","0.758","0.737","0.737","0.737","0.777","0.777","0.777","0.588","0.588","0.588"
"387","0.648","0.648","0.648","0.656","0.656","0.656","0.498","0.498","0.498","0.845","0.845","0.845","0.818","0.818","0.818","0.723","0.723","0.723","0.828","0.828","0.828","0.822","0.822","0.822","0.678","0.678","0.678","0.736","0.736","0.736","0.741","0.741","0.741","0.548","0.548","0.548"
"388","0.625","0.625","0.625","0.672","0.672","0.672","0.613","0.613","0.613","0.852","0.852","0.852","0.841","0.841","0.841","0.621","0.621","0.621","0.827","0.827","0.827","0.813","0.813","0.813","0.659","0.659","0.659","0.723","0.723","0.723","0.769","0.769","0.769","0.497","0.497","0.497"
"389","0.659","0.659","0.659","0.653","0.653","0.653","0.535","0.535","0.535","0.841","0.841","0.841","0.854","0.854","0.854","0.727","0.727","0.727","0.8","0.8","0.8","0.825","0.825","0.825","0.69","0.69","0.69","0.724","0.724","0.724","0.754","0.754","0.754","0.473","0.473","0.473"
"390","0.643","0.643","0.643","0.675","0.675","0.675","0.628","0.628","0.628","0.846","0.846","0.846","0.843","0.843","0.843","0.653","0.653","0.653","0.833","0.833","0.833","0.818","0.818","0.818","0.682","0.682","0.682","0.712","0.712","0.712","0.75","0.75","0.75","0.434","0.434","0.434"
"391","0.675","0.675","0.675","0.682","0.682","0.682","0.473","0.473","0.473","0.824","0.824","0.824","0.824","0.824","0.824","0.725","0.725","0.725","0.83","0.83","0.83","0.831","0.831","0.831","0.689","0.689","0.689","0.755","0.755","0.755","0.75","0.75","0.75","0.479","0.479","0.479"
"392","0.675","0.675","0.675","0.646","0.646","0.646","0.603","0.603","0.603","0.839","0.839","0.839","0.832","0.832","0.832","0.77","0.77","0.77","0.816","0.816","0.816","0.798","0.798","0.798","0.738","0.738","0.738","0.714","0.714","0.714","0.748","0.748","0.748","0.519","0.519","0.519"
"393","0.676","0.676","0.676","0.728","0.728","0.728","0.642","0.642","0.642","0.831","0.831","0.831","0.802","0.802","0.802","0.733","0.733","0.733","0.834","0.834","0.834","0.79","0.79","0.79","0.726","0.726","0.726","0.702","0.702","0.702","0.755","0.755","0.755","0.54","0.54","0.54"
"394","0.653","0.653","0.653","0.646","0.646","0.646","0.553","0.553","0.553","0.847","0.847","0.847","0.827","0.827","0.827","0.694","0.694","0.694","0.82","0.82","0.82","0.797","0.797","0.797","0.755","0.755","0.755","0.746","0.746","0.746","0.749","0.749","0.749","0.555","0.555","0.555"
"395","0.673","0.673","0.673","0.706","0.706","0.706","0.524","0.524","0.524","0.846","0.846","0.846","0.802","0.802","0.802","0.581","0.581","0.581","0.833","0.833","0.833","0.782","0.782","0.782","0.701","0.701","0.701","0.735","0.735","0.735","0.707","0.707","0.707","0.524","0.524","0.524"
"396","0.671","0.671","0.671","0.641","0.641","0.641","0.625","0.625","0.625","0.836","0.836","0.836","0.809","0.809","0.809","0.776","0.776","0.776","0.823","0.823","0.823","0.827","0.827","0.827","0.707","0.707","0.707","0.733","0.733","0.733","0.755","0.755","0.755","0.548","0.548","0.548"
"397","0.667","0.667","0.667","0.66","0.66","0.66","0.648","0.648","0.648","0.843","0.843","0.843","0.834","0.834","0.834","0.671","0.671","0.671","0.832","0.832","0.832","0.81","0.81","0.81","0.71","0.71","0.71","0.722","0.722","0.722","0.755","0.755","0.755","0.474","0.474","0.474"
"398","0.658","0.658","0.658","0.636","0.636","0.636","0.598","0.598","0.598","0.846","0.846","0.846","0.817","0.817","0.817","0.74","0.74","0.74","0.821","0.821","0.821","0.798","0.798","0.798","0.751","0.751","0.751","0.734","0.734","0.734","0.723","0.723","0.723","0.615","0.615","0.615"
"399","0.67","0.67","0.67","0.656","0.656","0.656","0.591","0.591","0.591","0.824","0.824","0.824","0.845","0.845","0.845","0.748","0.748","0.748","0.832","0.832","0.832","0.832","0.832","0.832","0.705","0.705","0.705","0.74","0.74","0.74","0.769","0.769","0.769","0.576","0.576","0.576"
"400","0.67","0.67","0.67","0.708","0.708","0.708","0.667","0.667","0.667","0.851","0.851","0.851","0.854","0.854","0.854","0.706","0.706","0.706","0.82","0.82","0.82","0.835","0.835","0.835","0.784","0.784","0.784","0.728","0.728","0.728","0.787","0.787","0.787","0.628","0.628","0.628"
"401","0.654","0.654","0.654","0.659","0.659","0.659","0.645","0.645","0.645","0.854","0.854","0.854","0.805","0.805","0.805","0.692","0.692","0.692","0.851","0.851","0.851","0.805","0.805","0.805","0.697","0.697","0.697","0.737","0.737","0.737","0.727","0.727","0.727","0.522","0.522","0.522"
"402","0.698","0.698","0.698","0.758","0.758","0.758","0.693","0.693","0.693","0.87","0.87","0.87","0.843","0.843","0.843","0.753","0.753","0.753","0.836","0.836","0.836","0.822","0.822","0.822","0.605","0.605","0.605","0.712","0.712","0.712","0.767","0.767","0.767","0.427","0.427","0.427"
"403","0.664","0.664","0.664","0.651","0.651","0.651","0.593","0.593","0.593","0.849","0.849","0.849","0.823","0.823","0.823","0.701","0.701","0.701","0.828","0.828","0.828","0.82","0.82","0.82","0.757","0.757","0.757","0.735","0.735","0.735","0.726","0.726","0.726","0.626","0.626","0.626"
"404","0.682","0.682","0.682","0.67","0.67","0.67","0.506","0.506","0.506","0.846","0.846","0.846","0.833","0.833","0.833","0.659","0.659","0.659","0.83","0.83","0.83","0.817","0.817","0.817","0.73","0.73","0.73","0.728","0.728","0.728","0.735","0.735","0.735","0.566","0.566","0.566"
"405","0.65","0.65","0.65","0.675","0.675","0.675","0.685","0.685","0.685","0.837","0.837","0.837","0.817","0.817","0.817","0.715","0.715","0.715","0.865","0.865","0.865","0.807","0.807","0.807","0.727","0.727","0.727","0.748","0.748","0.748","0.717","0.717","0.717","0.537","0.537","0.537"
"406","0.663","0.663","0.663","0.68","0.68","0.68","0.61","0.61","0.61","0.846","0.846","0.846","0.818","0.818","0.818","0.728","0.728","0.728","0.829","0.829","0.829","0.808","0.808","0.808","0.726","0.726","0.726","0.727","0.727","0.727","0.724","0.724","0.724","0.49","0.49","0.49"
"407","0.691","0.691","0.691","0.689","0.689","0.689","0.691","0.691","0.691","0.833","0.833","0.833","0.841","0.841","0.841","0.701","0.701","0.701","0.836","0.836","0.836","0.83","0.83","0.83","0.674","0.674","0.674","0.752","0.752","0.752","0.776","0.776","0.776","0.465","0.465","0.465"
"408","0.642","0.642","0.642","0.675","0.675","0.675","0.668","0.668","0.668","0.826","0.826","0.826","0.803","0.803","0.803","0.689","0.689","0.689","0.836","0.836","0.836","0.785","0.785","0.785","0.648","0.648","0.648","0.722","0.722","0.722","0.723","0.723","0.723","0.462","0.462","0.462"
"409","0.676","0.676","0.676","0.728","0.728","0.728","0.661","0.661","0.661","0.848","0.848","0.848","0.844","0.844","0.844","0.581","0.581","0.581","0.845","0.845","0.845","0.804","0.804","0.804","0.771","0.771","0.771","0.743","0.743","0.743","0.744","0.744","0.744","0.626","0.626","0.626"
"410","0.659","0.659","0.659","0.682","0.682","0.682","0.557","0.557","0.557","0.859","0.859","0.859","0.807","0.807","0.807","0.734","0.734","0.734","0.809","0.809","0.809","0.81","0.81","0.81","0.678","0.678","0.678","0.707","0.707","0.707","0.752","0.752","0.752","0.556","0.556","0.556"
"411","0.645","0.645","0.645","0.628","0.628","0.628","0.518","0.518","0.518","0.854","0.854","0.854","0.834","0.834","0.834","0.734","0.734","0.734","0.829","0.829","0.829","0.839","0.839","0.839","0.76","0.76","0.76","0.729","0.729","0.729","0.778","0.778","0.778","0.568","0.568","0.568"
"412","0.689","0.689","0.689","0.752","0.752","0.752","0.706","0.706","0.706","0.845","0.845","0.845","0.815","0.815","0.815","0.764","0.764","0.764","0.822","0.822","0.822","0.822","0.822","0.822","0.776","0.776","0.776","0.755","0.755","0.755","0.726","0.726","0.726","0.621","0.621","0.621"
"413","0.713","0.713","0.713","0.698","0.698","0.698","0.655","0.655","0.655","0.852","0.852","0.852","0.831","0.831","0.831","0.756","0.756","0.756","0.842","0.842","0.842","0.838","0.838","0.838","0.781","0.781","0.781","0.719","0.719","0.719","0.783","0.783","0.783","0.618","0.618","0.618"
"414","0.671","0.671","0.671","0.68","0.68","0.68","0.5","0.5","0.5","0.842","0.842","0.842","0.836","0.836","0.836","0.681","0.681","0.681","0.816","0.816","0.816","0.829","0.829","0.829","0.72","0.72","0.72","0.74","0.74","0.74","0.76","0.76","0.76","0.454","0.454","0.454"
"415","0.685","0.685","0.685","0.7","0.7","0.7","0.561","0.561","0.561","0.839","0.839","0.839","0.813","0.813","0.813","0.702","0.702","0.702","0.819","0.819","0.819","0.8","0.8","0.8","0.677","0.677","0.677","0.73","0.73","0.73","0.751","0.751","0.751","0.46","0.46","0.46"
"416","0.662","0.662","0.662","0.698","0.698","0.698","0.688","0.688","0.688","0.839","0.839","0.839","0.85","0.85","0.85","0.73","0.73","0.73","0.815","0.815","0.815","0.813","0.813","0.813","0.714","0.714","0.714","0.742","0.742","0.742","0.739","0.739","0.739","0.546","0.546","0.546"
"417","0.675","0.675","0.675","0.736","0.736","0.736","0.673","0.673","0.673","0.825","0.825","0.825","0.816","0.816","0.816","0.681","0.681","0.681","0.836","0.836","0.836","0.816","0.816","0.816","0.705","0.705","0.705","0.732","0.732","0.732","0.758","0.758","0.758","0.502","0.502","0.502"
"418","0.693","0.693","0.693","0.721","0.721","0.721","0.533","0.533","0.533","0.841","0.841","0.841","0.842","0.842","0.842","0.721","0.721","0.721","0.834","0.834","0.834","0.802","0.802","0.802","0.776","0.776","0.776","0.739","0.739","0.739","0.77","0.77","0.77","0.652","0.652","0.652"
"419","0.668","0.668","0.668","0.68","0.68","0.68","0.713","0.713","0.713","0.857","0.857","0.857","0.784","0.784","0.784","0.811","0.811","0.811","0.826","0.826","0.826","0.801","0.801","0.801","0.676","0.676","0.676","0.733","0.733","0.733","0.717","0.717","0.717","0.538","0.538","0.538"
"420","0.666","0.666","0.666","0.701","0.701","0.701","0.621","0.621","0.621","0.851","0.851","0.851","0.834","0.834","0.834","0.78","0.78","0.78","0.808","0.808","0.808","0.804","0.804","0.804","0.732","0.732","0.732","0.702","0.702","0.702","0.776","0.776","0.776","0.567","0.567","0.567"
"421","0.703","0.703","0.703","0.712","0.712","0.712","0.561","0.561","0.561","0.835","0.835","0.835","0.822","0.822","0.822","0.637","0.637","0.637","0.832","0.832","0.832","0.81","0.81","0.81","0.638","0.638","0.638","0.749","0.749","0.749","0.773","0.773","0.773","0.464","0.464","0.464"
"422","0.681","0.681","0.681","0.684","0.684","0.684","0.614","0.614","0.614","0.839","0.839","0.839","0.841","0.841","0.841","0.709","0.709","0.709","0.835","0.835","0.835","0.823","0.823","0.823","0.603","0.603","0.603","0.756","0.756","0.756","0.765","0.765","0.765","0.452","0.452","0.452"
"423","0.67","0.67","0.67","0.711","0.711","0.711","0.63","0.63","0.63","0.84","0.84","0.84","0.867","0.867","0.867","0.748","0.748","0.748","0.817","0.817","0.817","0.821","0.821","0.821","0.719","0.719","0.719","0.736","0.736","0.736","0.78","0.78","0.78","0.549","0.549","0.549"
"424","0.671","0.671","0.671","0.713","0.713","0.713","0.521","0.521","0.521","0.834","0.834","0.834","0.838","0.838","0.838","0.676","0.676","0.676","0.838","0.838","0.838","0.82","0.82","0.82","0.655","0.655","0.655","0.745","0.745","0.745","0.753","0.753","0.753","0.517","0.517","0.517"
"425","0.702","0.702","0.702","0.69","0.69","0.69","0.591","0.591","0.591","0.843","0.843","0.843","0.818","0.818","0.818","0.733","0.733","0.733","0.825","0.825","0.825","0.802","0.802","0.802","0.757","0.757","0.757","0.736","0.736","0.736","0.764","0.764","0.764","0.559","0.559","0.559"
"426","0.66","0.66","0.66","0.712","0.712","0.712","0.574","0.574","0.574","0.842","0.842","0.842","0.829","0.829","0.829","0.79","0.79","0.79","0.83","0.83","0.83","0.8","0.8","0.8","0.785","0.785","0.785","0.741","0.741","0.741","0.735","0.735","0.735","0.693","0.693","0.693"
