"Step","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"23","0.101","0.101","0.101","0.075","0.075","0.075","0.06","0.06","0.06","0.379","0.379","0.379","0.377","0.377","0.377","0.131","0.131","0.131","0.499","0.499","0.499","0.409","0.409","0.409","0.32","0.32","0.32","0.187","0.187","0.187","0.205","0.205","0.205","0.072","0.072","0.072"
"24","0.104","0.104","0.104","0.11","0.11","0.11","0.132","0.132","0.132","0.417","0.417","0.417","0.4","0.4","0.4","0.085","0.085","0.085","0.512","0.512","0.512","0.433","0.433","0.433","0.3","0.3","0.3","0.16","0.16","0.16","0.166","0.166","0.166","0.164","0.164","0.164"
"25","0.102","0.102","0.102","0.051","0.051","0.051","0.223","0.223","0.223","0.439","0.439","0.439","0.397","0.397","0.397","0.201","0.201","0.201","0.473","0.473","0.473","0.443","0.443","0.443","0.246","0.246","0.246","0.147","0.147","0.147","0.214","0.214","0.214","0.093","0.093","0.093"
"26","0.091","0.091","0.091","0.157","0.157","0.157","0.151","0.151","0.151","0.449","0.449","0.449","0.422","0.422","0.422","0.228","0.228","0.228","0.473","0.473","0.473","0.488","0.488","0.488","0.266","0.266","0.266","0.173","0.173","0.173","0.21","0.21","0.21","0.038","0.038","0.038"
"27","0.101","0.101","0.101","0.128","0.128","0.128","0.103","0.103","0.103","0.437","0.437","0.437","0.407","0.407","0.407","0.399","0.399","0.399","0.526","0.526","0.526","0.385","0.385","0.385","0.209","0.209","0.209","0.168","0.168","0.168","0.198","0.198","0.198","0.01","0.01","0.01"
"28","0.104","0.104","0.104","0.154","0.154","0.154","0.106","0.106","0.106","0.446","0.446","0.446","0.457","0.457","0.457","0.356","0.356","0.356","0.602","0.602","0.602","0.452","0.452","0.452","0.228","0.228","0.228","0.188","0.188","0.188","0.274","0.274","0.274","0.107","0.107","0.107"
"29","0.097","0.097","0.097","0.064","0.064","0.064","0.177","0.177","0.177","0.453","0.453","0.453","0.434","0.434","0.434","0.263","0.263","0.263","0.565","0.565","0.565","0.451","0.451","0.451","0.415","0.415","0.415","0.188","0.188","0.188","0.24","0.24","0.24","0.192","0.192","0.192"
"30","0.101","0.101","0.101","0.072","0.072","0.072","0.135","0.135","0.135","0.443","0.443","0.443","0.407","0.407","0.407","0.202","0.202","0.202","0.534","0.534","0.534","0.444","0.444","0.444","0.415","0.415","0.415","0.243","0.243","0.243","0.21","0.21","0.21","0.134","0.134","0.134"
"31","0.102","0.102","0.102","0.178","0.178","0.178","0.158","0.158","0.158","0.451","0.451","0.451","0.424","0.424","0.424","0.317","0.317","0.317","0.545","0.545","0.545","0.489","0.489","0.489","0.289","0.289","0.289","0.22","0.22","0.22","0.246","0.246","0.246","0.167","0.167","0.167"
"32","0.136","0.136","0.136","0.1","0.1","0.1","0.147","0.147","0.147","0.427","0.427","0.427","0.453","0.453","0.453","0.077","0.077","0.077","0.543","0.543","0.543","0.521","0.521","0.521","0.376","0.376","0.376","0.287","0.287","0.287","0.245","0.245","0.245","0.101","0.101","0.101"
"33","0.121","0.121","0.121","0.138","0.138","0.138","0.108","0.108","0.108","0.469","0.469","0.469","0.466","0.466","0.466","0.464","0.464","0.464","0.598","0.598","0.598","0.554","0.554","0.554","0.26","0.26","0.26","0.277","0.277","0.277","0.302","0.302","0.302","0.101","0.101","0.101"
"34","0.124","0.124","0.124","0.04","0.04","0.04","0.147","0.147","0.147","0.481","0.481","0.481","0.389","0.389","0.389","0.288","0.288","0.288","0.607","0.607","0.607","0.48","0.48","0.48","0.349","0.349","0.349","0.271","0.271","0.271","0.175","0.175","0.175","0.179","0.179","0.179"
"35","0.101","0.101","0.101","0.081","0.081","0.081","0.193","0.193","0.193","0.481","0.481","0.481","0.485","0.485","0.485","0.357","0.357","0.357","0.547","0.547","0.547","0.51","0.51","0.51","0.41","0.41","0.41","0.279","0.279","0.279","0.27","0.27","0.27","0.186","0.186","0.186"
