"Step","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"167","0.525","0.525","0.525","0.509","0.509","0.509","0.503","0.503","0.503","0.805","0.805","0.805","0.733","0.733","0.733","0.683","0.683","0.683","0.833","0.833","0.833","0.81","0.81","0.81","0.614","0.614","0.614","0.707","0.707","0.707","0.573","0.573","0.573","0.503","0.503","0.503"
"168","0.514","0.514","0.514","0.474","0.474","0.474","0.471","0.471","0.471","0.805","0.805","0.805","0.786","0.786","0.786","0.642","0.642","0.642","0.796","0.796","0.796","0.821","0.821","0.821","0.741","0.741","0.741","0.689","0.689","0.689","0.691","0.691","0.691","0.473","0.473","0.473"
"169","0.537","0.537","0.537","0.514","0.514","0.514","0.439","0.439","0.439","0.819","0.819","0.819","0.748","0.748","0.748","0.609","0.609","0.609","0.839","0.839","0.839","0.808","0.808","0.808","0.697","0.697","0.697","0.686","0.686","0.686","0.671","0.671","0.671","0.487","0.487","0.487"
"170","0.5","0.5","0.5","0.522","0.522","0.522","0.425","0.425","0.425","0.809","0.809","0.809","0.733","0.733","0.733","0.631","0.631","0.631","0.793","0.793","0.793","0.816","0.816","0.816","0.548","0.548","0.548","0.691","0.691","0.691","0.635","0.635","0.635","0.449","0.449","0.449"
"171","0.527","0.527","0.527","0.447","0.447","0.447","0.52","0.52","0.52","0.83","0.83","0.83","0.763","0.763","0.763","0.675","0.675","0.675","0.817","0.817","0.817","0.753","0.753","0.753","0.655","0.655","0.655","0.702","0.702","0.702","0.663","0.663","0.663","0.57","0.57","0.57"
"172","0.519","0.519","0.519","0.472","0.472","0.472","0.516","0.516","0.516","0.786","0.786","0.786","0.788","0.788","0.788","0.626","0.626","0.626","0.799","0.799","0.799","0.804","0.804","0.804","0.658","0.658","0.658","0.707","0.707","0.707","0.697","0.697","0.697","0.506","0.506","0.506"
"173","0.523","0.523","0.523","0.493","0.493","0.493","0.551","0.551","0.551","0.802","0.802","0.802","0.746","0.746","0.746","0.707","0.707","0.707","0.826","0.826","0.826","0.753","0.753","0.753","0.559","0.559","0.559","0.666","0.666","0.666","0.646","0.646","0.646","0.542","0.542","0.542"
"174","0.562","0.562","0.562","0.526","0.526","0.526","0.423","0.423","0.423","0.832","0.832","0.832","0.758","0.758","0.758","0.627","0.627","0.627","0.82","0.82","0.82","0.8","0.8","0.8","0.723","0.723","0.723","0.723","0.723","0.723","0.628","0.628","0.628","0.458","0.458","0.458"
"175","0.529","0.529","0.529","0.509","0.509","0.509","0.379","0.379","0.379","0.816","0.816","0.816","0.77","0.77","0.77","0.533","0.533","0.533","0.818","0.818","0.818","0.81","0.81","0.81","0.768","0.768","0.768","0.726","0.726","0.726","0.675","0.675","0.675","0.353","0.353","0.353"
"176","0.563","0.563","0.563","0.496","0.496","0.496","0.277","0.277","0.277","0.828","0.828","0.828","0.816","0.816","0.816","0.489","0.489","0.489","0.761","0.761","0.761","0.806","0.806","0.806","0.694","0.694","0.694","0.708","0.708","0.708","0.666","0.666","0.666","0.322","0.322","0.322"
"177","0.578","0.578","0.578","0.468","0.468","0.468","0.373","0.373","0.373","0.789","0.789","0.789","0.766","0.766","0.766","0.587","0.587","0.587","0.815","0.815","0.815","0.791","0.791","0.791","0.713","0.713","0.713","0.713","0.713","0.713","0.665","0.665","0.665","0.423","0.423","0.423"
"178","0.571","0.571","0.571","0.576","0.576","0.576","0.346","0.346","0.346","0.816","0.816","0.816","0.781","0.781","0.781","0.563","0.563","0.563","0.818","0.818","0.818","0.816","0.816","0.816","0.703","0.703","0.703","0.707","0.707","0.707","0.663","0.663","0.663","0.332","0.332","0.332"
"179","0.542","0.542","0.542","0.483","0.483","0.483","0.355","0.355","0.355","0.811","0.811","0.811","0.782","0.782","0.782","0.603","0.603","0.603","0.809","0.809","0.809","0.783","0.783","0.783","0.675","0.675","0.675","0.713","0.713","0.713","0.65","0.65","0.65","0.419","0.419","0.419"
"180","0.556","0.556","0.556","0.557","0.557","0.557","0.349","0.349","0.349","0.825","0.825","0.825","0.78","0.78","0.78","0.571","0.571","0.571","0.84","0.84","0.84","0.828","0.828","0.828","0.642","0.642","0.642","0.704","0.704","0.704","0.666","0.666","0.666","0.371","0.371","0.371"
"181","0.549","0.549","0.549","0.517","0.517","0.517","0.38","0.38","0.38","0.828","0.828","0.828","0.767","0.767","0.767","0.579","0.579","0.579","0.81","0.81","0.81","0.807","0.807","0.807","0.514","0.514","0.514","0.707","0.707","0.707","0.674","0.674","0.674","0.383","0.383","0.383"
"182","0.559","0.559","0.559","0.534","0.534","0.534","0.506","0.506","0.506","0.84","0.84","0.84","0.805","0.805","0.805","0.685","0.685","0.685","0.827","0.827","0.827","0.789","0.789","0.789","0.683","0.683","0.683","0.738","0.738","0.738","0.733","0.733","0.733","0.535","0.535","0.535"
"183","0.571","0.571","0.571","0.542","0.542","0.542","0.586","0.586","0.586","0.826","0.826","0.826","0.721","0.721","0.721","0.739","0.739","0.739","0.799","0.799","0.799","0.804","0.804","0.804","0.763","0.763","0.763","0.732","0.732","0.732","0.681","0.681","0.681","0.57","0.57","0.57"
"184","0.526","0.526","0.526","0.556","0.556","0.556","0.514","0.514","0.514","0.818","0.818","0.818","0.781","0.781","0.781","0.646","0.646","0.646","0.818","0.818","0.818","0.773","0.773","0.773","0.626","0.626","0.626","0.711","0.711","0.711","0.647","0.647","0.647","0.46","0.46","0.46"
"185","0.564","0.564","0.564","0.5","0.5","0.5","0.372","0.372","0.372","0.801","0.801","0.801","0.767","0.767","0.767","0.571","0.571","0.571","0.818","0.818","0.818","0.784","0.784","0.784","0.683","0.683","0.683","0.723","0.723","0.723","0.727","0.727","0.727","0.378","0.378","0.378"
"186","0.556","0.556","0.556","0.556","0.556","0.556","0.429","0.429","0.429","0.83","0.83","0.83","0.777","0.777","0.777","0.6","0.6","0.6","0.809","0.809","0.809","0.845","0.845","0.845","0.795","0.795","0.795","0.73","0.73","0.73","0.676","0.676","0.676","0.43","0.43","0.43"
"187","0.589","0.589","0.589","0.534","0.534","0.534","0.369","0.369","0.369","0.806","0.806","0.806","0.788","0.788","0.788","0.562","0.562","0.562","0.837","0.837","0.837","0.778","0.778","0.778","0.699","0.699","0.699","0.714","0.714","0.714","0.676","0.676","0.676","0.409","0.409","0.409"
"188","0.564","0.564","0.564","0.518","0.518","0.518","0.589","0.589","0.589","0.826","0.826","0.826","0.797","0.797","0.797","0.709","0.709","0.709","0.795","0.795","0.795","0.767","0.767","0.767","0.645","0.645","0.645","0.713","0.713","0.713","0.704","0.704","0.704","0.655","0.655","0.655"
"189","0.601","0.601","0.601","0.503","0.503","0.503","0.579","0.579","0.579","0.839","0.839","0.839","0.773","0.773","0.773","0.733","0.733","0.733","0.839","0.839","0.839","0.801","0.801","0.801","0.604","0.604","0.604","0.719","0.719","0.719","0.672","0.672","0.672","0.582","0.582","0.582"
"190","0.568","0.568","0.568","0.542","0.542","0.542","0.353","0.353","0.353","0.81","0.81","0.81","0.779","0.779","0.779","0.48","0.48","0.48","0.83","0.83","0.83","0.818","0.818","0.818","0.73","0.73","0.73","0.722","0.722","0.722","0.695","0.695","0.695","0.418","0.418","0.418"
"191","0.572","0.572","0.572","0.542","0.542","0.542","0.463","0.463","0.463","0.833","0.833","0.833","0.779","0.779","0.779","0.669","0.669","0.669","0.827","0.827","0.827","0.806","0.806","0.806","0.667","0.667","0.667","0.732","0.732","0.732","0.709","0.709","0.709","0.462","0.462","0.462"
"192","0.6","0.6","0.6","0.481","0.481","0.481","0.496","0.496","0.496","0.814","0.814","0.814","0.778","0.778","0.778","0.677","0.677","0.677","0.825","0.825","0.825","0.769","0.769","0.769","0.687","0.687","0.687","0.708","0.708","0.708","0.658","0.658","0.658","0.458","0.458","0.458"
"193","0.571","0.571","0.571","0.542","0.542","0.542","0.391","0.391","0.391","0.844","0.844","0.844","0.784","0.784","0.784","0.578","0.578","0.578","0.833","0.833","0.833","0.786","0.786","0.786","0.746","0.746","0.746","0.733","0.733","0.733","0.696","0.696","0.696","0.366","0.366","0.366"
"194","0.597","0.597","0.597","0.559","0.559","0.559","0.469","0.469","0.469","0.824","0.824","0.824","0.765","0.765","0.765","0.604","0.604","0.604","0.833","0.833","0.833","0.843","0.843","0.843","0.706","0.706","0.706","0.749","0.749","0.749","0.653","0.653","0.653","0.396","0.396","0.396"
"195","0.608","0.608","0.608","0.538","0.538","0.538","0.468","0.468","0.468","0.817","0.817","0.817","0.82","0.82","0.82","0.622","0.622","0.622","0.811","0.811","0.811","0.799","0.799","0.799","0.755","0.755","0.755","0.698","0.698","0.698","0.743","0.743","0.743","0.457","0.457","0.457"
"196","0.587","0.587","0.587","0.474","0.474","0.474","0.336","0.336","0.336","0.826","0.826","0.826","0.81","0.81","0.81","0.63","0.63","0.63","0.808","0.808","0.808","0.778","0.778","0.778","0.692","0.692","0.692","0.754","0.754","0.754","0.711","0.711","0.711","0.399","0.399","0.399"
"197","0.586","0.586","0.586","0.532","0.532","0.532","0.428","0.428","0.428","0.831","0.831","0.831","0.802","0.802","0.802","0.595","0.595","0.595","0.817","0.817","0.817","0.797","0.797","0.797","0.779","0.779","0.779","0.708","0.708","0.708","0.695","0.695","0.695","0.441","0.441","0.441"
"198","0.578","0.578","0.578","0.5","0.5","0.5","0.56","0.56","0.56","0.819","0.819","0.819","0.785","0.785","0.785","0.679","0.679","0.679","0.819","0.819","0.819","0.773","0.773","0.773","0.715","0.715","0.715","0.718","0.718","0.718","0.706","0.706","0.706","0.548","0.548","0.548"
"199","0.611","0.611","0.611","0.502","0.502","0.502","0.484","0.484","0.484","0.821","0.821","0.821","0.797","0.797","0.797","0.63","0.63","0.63","0.837","0.837","0.837","0.805","0.805","0.805","0.612","0.612","0.612","0.749","0.749","0.749","0.715","0.715","0.715","0.512","0.512","0.512"
"200","0.609","0.609","0.609","0.49","0.49","0.49","0.494","0.494","0.494","0.838","0.838","0.838","0.777","0.777","0.777","0.653","0.653","0.653","0.841","0.841","0.841","0.792","0.792","0.792","0.772","0.772","0.772","0.717","0.717","0.717","0.688","0.688","0.688","0.521","0.521","0.521"
"201","0.595","0.595","0.595","0.479","0.479","0.479","0.436","0.436","0.436","0.819","0.819","0.819","0.786","0.786","0.786","0.587","0.587","0.587","0.787","0.787","0.787","0.772","0.772","0.772","0.647","0.647","0.647","0.749","0.749","0.749","0.685","0.685","0.685","0.409","0.409","0.409"
"202","0.593","0.593","0.593","0.526","0.526","0.526","0.413","0.413","0.413","0.811","0.811","0.811","0.798","0.798","0.798","0.661","0.661","0.661","0.824","0.824","0.824","0.804","0.804","0.804","0.706","0.706","0.706","0.734","0.734","0.734","0.737","0.737","0.737","0.449","0.449","0.449"
"203","0.63","0.63","0.63","0.565","0.565","0.565","0.465","0.465","0.465","0.824","0.824","0.824","0.766","0.766","0.766","0.574","0.574","0.574","0.82","0.82","0.82","0.813","0.813","0.813","0.658","0.658","0.658","0.748","0.748","0.748","0.686","0.686","0.686","0.453","0.453","0.453"
"204","0.607","0.607","0.607","0.519","0.519","0.519","0.543","0.543","0.543","0.837","0.837","0.837","0.784","0.784","0.784","0.737","0.737","0.737","0.822","0.822","0.822","0.786","0.786","0.786","0.639","0.639","0.639","0.728","0.728","0.728","0.733","0.733","0.733","0.57","0.57","0.57"
"205","0.585","0.585","0.585","0.56","0.56","0.56","0.459","0.459","0.459","0.835","0.835","0.835","0.83","0.83","0.83","0.61","0.61","0.61","0.818","0.818","0.818","0.829","0.829","0.829","0.779","0.779","0.779","0.756","0.756","0.756","0.701","0.701","0.701","0.367","0.367","0.367"
"206","0.621","0.621","0.621","0.542","0.542","0.542","0.466","0.466","0.466","0.835","0.835","0.835","0.792","0.792","0.792","0.659","0.659","0.659","0.821","0.821","0.821","0.777","0.777","0.777","0.607","0.607","0.607","0.726","0.726","0.726","0.695","0.695","0.695","0.483","0.483","0.483"
"207","0.607","0.607","0.607","0.52","0.52","0.52","0.465","0.465","0.465","0.815","0.815","0.815","0.803","0.803","0.803","0.672","0.672","0.672","0.827","0.827","0.827","0.812","0.812","0.812","0.625","0.625","0.625","0.749","0.749","0.749","0.764","0.764","0.764","0.497","0.497","0.497"
"208","0.619","0.619","0.619","0.548","0.548","0.548","0.521","0.521","0.521","0.799","0.799","0.799","0.824","0.824","0.824","0.672","0.672","0.672","0.812","0.812","0.812","0.738","0.738","0.738","0.624","0.624","0.624","0.756","0.756","0.756","0.725","0.725","0.725","0.507","0.507","0.507"
"209","0.594","0.594","0.594","0.553","0.553","0.553","0.471","0.471","0.471","0.816","0.816","0.816","0.803","0.803","0.803","0.685","0.685","0.685","0.794","0.794","0.794","0.771","0.771","0.771","0.736","0.736","0.736","0.764","0.764","0.764","0.74","0.74","0.74","0.42","0.42","0.42"
"210","0.609","0.609","0.609","0.542","0.542","0.542","0.495","0.495","0.495","0.842","0.842","0.842","0.807","0.807","0.807","0.711","0.711","0.711","0.838","0.838","0.838","0.779","0.779","0.779","0.726","0.726","0.726","0.744","0.744","0.744","0.737","0.737","0.737","0.513","0.513","0.513"
"211","0.601","0.601","0.601","0.573","0.573","0.573","0.419","0.419","0.419","0.835","0.835","0.835","0.798","0.798","0.798","0.652","0.652","0.652","0.813","0.813","0.813","0.783","0.783","0.783","0.684","0.684","0.684","0.713","0.713","0.713","0.759","0.759","0.759","0.522","0.522","0.522"
"212","0.561","0.561","0.561","0.574","0.574","0.574","0.29","0.29","0.29","0.829","0.829","0.829","0.79","0.79","0.79","0.539","0.539","0.539","0.823","0.823","0.823","0.817","0.817","0.817","0.725","0.725","0.725","0.741","0.741","0.741","0.713","0.713","0.713","0.307","0.307","0.307"
"213","0.589","0.589","0.589","0.584","0.584","0.584","0.457","0.457","0.457","0.843","0.843","0.843","0.772","0.772","0.772","0.706","0.706","0.706","0.825","0.825","0.825","0.8","0.8","0.8","0.685","0.685","0.685","0.752","0.752","0.752","0.728","0.728","0.728","0.425","0.425","0.425"
"214","0.649","0.649","0.649","0.596","0.596","0.596","0.532","0.532","0.532","0.842","0.842","0.842","0.814","0.814","0.814","0.678","0.678","0.678","0.851","0.851","0.851","0.832","0.832","0.832","0.695","0.695","0.695","0.72","0.72","0.72","0.774","0.774","0.774","0.486","0.486","0.486"
"215","0.629","0.629","0.629","0.557","0.557","0.557","0.383","0.383","0.383","0.836","0.836","0.836","0.8","0.8","0.8","0.62","0.62","0.62","0.831","0.831","0.831","0.784","0.784","0.784","0.703","0.703","0.703","0.741","0.741","0.741","0.751","0.751","0.751","0.452","0.452","0.452"
"216","0.59","0.59","0.59","0.581","0.581","0.581","0.496","0.496","0.496","0.855","0.855","0.855","0.758","0.758","0.758","0.665","0.665","0.665","0.85","0.85","0.85","0.827","0.827","0.827","0.721","0.721","0.721","0.755","0.755","0.755","0.674","0.674","0.674","0.438","0.438","0.438"
"217","0.607","0.607","0.607","0.504","0.504","0.504","0.463","0.463","0.463","0.791","0.791","0.791","0.797","0.797","0.797","0.663","0.663","0.663","0.839","0.839","0.839","0.832","0.832","0.832","0.559","0.559","0.559","0.748","0.748","0.748","0.727","0.727","0.727","0.428","0.428","0.428"
"218","0.625","0.625","0.625","0.614","0.614","0.614","0.567","0.567","0.567","0.82","0.82","0.82","0.817","0.817","0.817","0.649","0.649","0.649","0.84","0.84","0.84","0.798","0.798","0.798","0.708","0.708","0.708","0.72","0.72","0.72","0.73","0.73","0.73","0.552","0.552","0.552"
"219","0.642","0.642","0.642","0.567","0.567","0.567","0.428","0.428","0.428","0.818","0.818","0.818","0.79","0.79","0.79","0.624","0.624","0.624","0.816","0.816","0.816","0.8","0.8","0.8","0.722","0.722","0.722","0.766","0.766","0.766","0.73","0.73","0.73","0.455","0.455","0.455"
"220","0.624","0.624","0.624","0.541","0.541","0.541","0.556","0.556","0.556","0.821","0.821","0.821","0.793","0.793","0.793","0.666","0.666","0.666","0.82","0.82","0.82","0.818","0.818","0.818","0.695","0.695","0.695","0.754","0.754","0.754","0.715","0.715","0.715","0.526","0.526","0.526"
"221","0.631","0.631","0.631","0.596","0.596","0.596","0.531","0.531","0.531","0.822","0.822","0.822","0.803","0.803","0.803","0.682","0.682","0.682","0.844","0.844","0.844","0.796","0.796","0.796","0.726","0.726","0.726","0.75","0.75","0.75","0.748","0.748","0.748","0.555","0.555","0.555"
"222","0.664","0.664","0.664","0.583","0.583","0.583","0.478","0.478","0.478","0.827","0.827","0.827","0.826","0.826","0.826","0.677","0.677","0.677","0.827","0.827","0.827","0.822","0.822","0.822","0.684","0.684","0.684","0.788","0.788","0.788","0.75","0.75","0.75","0.515","0.515","0.515"
"223","0.665","0.665","0.665","0.567","0.567","0.567","0.425","0.425","0.425","0.824","0.824","0.824","0.778","0.778","0.778","0.607","0.607","0.607","0.814","0.814","0.814","0.797","0.797","0.797","0.785","0.785","0.785","0.766","0.766","0.766","0.699","0.699","0.699","0.473","0.473","0.473"
"224","0.625","0.625","0.625","0.6","0.6","0.6","0.517","0.517","0.517","0.839","0.839","0.839","0.803","0.803","0.803","0.703","0.703","0.703","0.822","0.822","0.822","0.805","0.805","0.805","0.735","0.735","0.735","0.757","0.757","0.757","0.74","0.74","0.74","0.523","0.523","0.523"
"225","0.574","0.574","0.574","0.607","0.607","0.607","0.485","0.485","0.485","0.854","0.854","0.854","0.791","0.791","0.791","0.693","0.693","0.693","0.851","0.851","0.851","0.788","0.788","0.788","0.692","0.692","0.692","0.758","0.758","0.758","0.73","0.73","0.73","0.523","0.523","0.523"
"226","0.638","0.638","0.638","0.606","0.606","0.606","0.541","0.541","0.541","0.831","0.831","0.831","0.814","0.814","0.814","0.719","0.719","0.719","0.807","0.807","0.807","0.818","0.818","0.818","0.765","0.765","0.765","0.796","0.796","0.796","0.74","0.74","0.74","0.552","0.552","0.552"
"227","0.639","0.639","0.639","0.618","0.618","0.618","0.404","0.404","0.404","0.829","0.829","0.829","0.753","0.753","0.753","0.597","0.597","0.597","0.816","0.816","0.816","0.789","0.789","0.789","0.62","0.62","0.62","0.781","0.781","0.781","0.716","0.716","0.716","0.422","0.422","0.422"
"228","0.655","0.655","0.655","0.558","0.558","0.558","0.641","0.641","0.641","0.824","0.824","0.824","0.836","0.836","0.836","0.75","0.75","0.75","0.816","0.816","0.816","0.778","0.778","0.778","0.75","0.75","0.75","0.781","0.781","0.781","0.746","0.746","0.746","0.664","0.664","0.664"
"229","0.615","0.615","0.615","0.617","0.617","0.617","0.557","0.557","0.557","0.841","0.841","0.841","0.838","0.838","0.838","0.711","0.711","0.711","0.839","0.839","0.839","0.801","0.801","0.801","0.7","0.7","0.7","0.779","0.779","0.779","0.745","0.745","0.745","0.572","0.572","0.572"
"230","0.644","0.644","0.644","0.591","0.591","0.591","0.561","0.561","0.561","0.839","0.839","0.839","0.828","0.828","0.828","0.696","0.696","0.696","0.83","0.83","0.83","0.805","0.805","0.805","0.723","0.723","0.723","0.738","0.738","0.738","0.773","0.773","0.773","0.55","0.55","0.55"
"231","0.605","0.605","0.605","0.625","0.625","0.625","0.564","0.564","0.564","0.839","0.839","0.839","0.799","0.799","0.799","0.674","0.674","0.674","0.834","0.834","0.834","0.784","0.784","0.784","0.709","0.709","0.709","0.768","0.768","0.768","0.733","0.733","0.733","0.514","0.514","0.514"
"232","0.633","0.633","0.633","0.538","0.538","0.538","0.583","0.583","0.583","0.826","0.826","0.826","0.805","0.805","0.805","0.727","0.727","0.727","0.802","0.802","0.802","0.793","0.793","0.793","0.602","0.602","0.602","0.768","0.768","0.768","0.726","0.726","0.726","0.545","0.545","0.545"
"233","0.618","0.618","0.618","0.608","0.608","0.608","0.475","0.475","0.475","0.823","0.823","0.823","0.769","0.769","0.769","0.705","0.705","0.705","0.818","0.818","0.818","0.834","0.834","0.834","0.744","0.744","0.744","0.762","0.762","0.762","0.705","0.705","0.705","0.452","0.452","0.452"
"234","0.603","0.603","0.603","0.618","0.618","0.618","0.577","0.577","0.577","0.818","0.818","0.818","0.816","0.816","0.816","0.737","0.737","0.737","0.828","0.828","0.828","0.831","0.831","0.831","0.677","0.677","0.677","0.773","0.773","0.773","0.759","0.759","0.759","0.557","0.557","0.557"
"235","0.659","0.659","0.659","0.619","0.619","0.619","0.543","0.543","0.543","0.833","0.833","0.833","0.803","0.803","0.803","0.636","0.636","0.636","0.844","0.844","0.844","0.819","0.819","0.819","0.728","0.728","0.728","0.799","0.799","0.799","0.744","0.744","0.744","0.56","0.56","0.56"
"236","0.648","0.648","0.648","0.602","0.602","0.602","0.509","0.509","0.509","0.84","0.84","0.84","0.785","0.785","0.785","0.728","0.728","0.728","0.805","0.805","0.805","0.822","0.822","0.822","0.725","0.725","0.725","0.778","0.778","0.778","0.708","0.708","0.708","0.523","0.523","0.523"
"237","0.664","0.664","0.664","0.581","0.581","0.581","0.359","0.359","0.359","0.813","0.813","0.813","0.842","0.842","0.842","0.616","0.616","0.616","0.819","0.819","0.819","0.773","0.773","0.773","0.754","0.754","0.754","0.772","0.772","0.772","0.784","0.784","0.784","0.363","0.363","0.363"
"238","0.684","0.684","0.684","0.585","0.585","0.585","0.479","0.479","0.479","0.849","0.849","0.849","0.823","0.823","0.823","0.697","0.697","0.697","0.852","0.852","0.852","0.781","0.781","0.781","0.663","0.663","0.663","0.77","0.77","0.77","0.77","0.77","0.77","0.454","0.454","0.454"
"239","0.658","0.658","0.658","0.58","0.58","0.58","0.516","0.516","0.516","0.844","0.844","0.844","0.786","0.786","0.786","0.753","0.753","0.753","0.819","0.819","0.819","0.794","0.794","0.794","0.635","0.635","0.635","0.778","0.778","0.778","0.725","0.725","0.725","0.499","0.499","0.499"
"240","0.634","0.634","0.634","0.59","0.59","0.59","0.536","0.536","0.536","0.845","0.845","0.845","0.795","0.795","0.795","0.628","0.628","0.628","0.828","0.828","0.828","0.808","0.808","0.808","0.634","0.634","0.634","0.777","0.777","0.777","0.771","0.771","0.771","0.467","0.467","0.467"
"241","0.627","0.627","0.627","0.619","0.619","0.619","0.477","0.477","0.477","0.817","0.817","0.817","0.804","0.804","0.804","0.616","0.616","0.616","0.809","0.809","0.809","0.819","0.819","0.819","0.711","0.711","0.711","0.791","0.791","0.791","0.746","0.746","0.746","0.445","0.445","0.445"
"242","0.628","0.628","0.628","0.618","0.618","0.618","0.51","0.51","0.51","0.825","0.825","0.825","0.78","0.78","0.78","0.707","0.707","0.707","0.824","0.824","0.824","0.836","0.836","0.836","0.638","0.638","0.638","0.761","0.761","0.761","0.728","0.728","0.728","0.481","0.481","0.481"
"243","0.689","0.689","0.689","0.624","0.624","0.624","0.478","0.478","0.478","0.835","0.835","0.835","0.833","0.833","0.833","0.665","0.665","0.665","0.819","0.819","0.819","0.8","0.8","0.8","0.742","0.742","0.742","0.762","0.762","0.762","0.788","0.788","0.788","0.423","0.423","0.423"
"244","0.614","0.614","0.614","0.613","0.613","0.613","0.369","0.369","0.369","0.846","0.846","0.846","0.844","0.844","0.844","0.531","0.531","0.531","0.837","0.837","0.837","0.818","0.818","0.818","0.762","0.762","0.762","0.751","0.751","0.751","0.784","0.784","0.784","0.372","0.372","0.372"
"245","0.64","0.64","0.64","0.615","0.615","0.615","0.602","0.602","0.602","0.836","0.836","0.836","0.817","0.817","0.817","0.757","0.757","0.757","0.818","0.818","0.818","0.787","0.787","0.787","0.692","0.692","0.692","0.786","0.786","0.786","0.788","0.788","0.788","0.556","0.556","0.556"
"246","0.668","0.668","0.668","0.629","0.629","0.629","0.483","0.483","0.483","0.836","0.836","0.836","0.782","0.782","0.782","0.686","0.686","0.686","0.809","0.809","0.809","0.792","0.792","0.792","0.71","0.71","0.71","0.807","0.807","0.807","0.747","0.747","0.747","0.443","0.443","0.443"
"247","0.639","0.639","0.639","0.586","0.586","0.586","0.628","0.628","0.628","0.828","0.828","0.828","0.816","0.816","0.816","0.752","0.752","0.752","0.82","0.82","0.82","0.778","0.778","0.778","0.807","0.807","0.807","0.798","0.798","0.798","0.76","0.76","0.76","0.573","0.573","0.573"
"248","0.677","0.677","0.677","0.571","0.571","0.571","0.513","0.513","0.513","0.828","0.828","0.828","0.809","0.809","0.809","0.735","0.735","0.735","0.835","0.835","0.835","0.796","0.796","0.796","0.758","0.758","0.758","0.785","0.785","0.785","0.764","0.764","0.764","0.544","0.544","0.544"
