"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX"
"25","48.41199999999999","48.41199999999999","48.41199999999999","75.534","75.534","75.534","78.82300000000001","78.82300000000001","78.82300000000001","87.13600000000001","87.13600000000001","87.13600000000001","87.76100000000001","87.76100000000001","87.76100000000001","87.475","87.475","87.475","89.52199999999999","89.52199999999999","89.52199999999999"
"26","48.038","48.038","48.038","74.68800000000002","74.68800000000002","74.68800000000002","79.495","79.495","79.495","87.17699999999999","87.17699999999999","87.17699999999999","87.735","87.735","87.735","87.49600000000001","87.49600000000001","87.49600000000001","89.50100000000002","89.50100000000002","89.50100000000002"
"27","48.08400000000001","48.08400000000001","48.08400000000001","75.12","75.12","75.12","77.779","77.779","77.779","87.20699999999998","87.20699999999998","87.20699999999998","87.82399999999998","87.82399999999998","87.82399999999998","87.48199999999999","87.48199999999999","87.48199999999999","89.49100000000001","89.49100000000001","89.49100000000001"
"28","48.70199999999999","48.70199999999999","48.70199999999999","74.51199999999999","74.51199999999999","74.51199999999999","78.99199999999999","78.99199999999999","78.99199999999999","87.22800000000001","87.22800000000001","87.22800000000001","87.835","87.835","87.835","87.51199999999999","87.51199999999999","87.51199999999999","89.47899999999998","89.47899999999998","89.47899999999998"
"29","48.483","48.483","48.483","74.91699999999999","74.91699999999999","74.91699999999999","78.68300000000002","78.68300000000002","78.68300000000002","87.12699999999998","87.12699999999998","87.12699999999998","87.92300000000002","87.92300000000002","87.92300000000002","87.44699999999999","87.44699999999999","87.44699999999999","89.46800000000002","89.46800000000002","89.46800000000002"
"30","48.28699999999999","48.28699999999999","48.28699999999999","73.859","73.859","73.859","78.026","78.026","78.026","87.10300000000001","87.10300000000001","87.10300000000001","87.83899999999998","87.83899999999998","87.83899999999998","87.48300000000002","87.48300000000002","87.48300000000002","89.45300000000002","89.45300000000002","89.45300000000002"
"31","51.276999999999994","51.276999999999994","51.276999999999994","74.87699999999998","74.87699999999998","74.87699999999998","79.081","79.081","79.081","87.144","87.144","87.144","87.75100000000002","87.75100000000002","87.75100000000002","87.32199999999999","87.32199999999999","87.32199999999999","89.44","89.44","89.44"
"32","48.15699999999999","48.15699999999999","48.15699999999999","73.48800000000001","73.48800000000001","73.48800000000001","77.421","77.421","77.421","87.06600000000002","87.06600000000002","87.06600000000002","87.67300000000002","87.67300000000002","87.67300000000002","87.475","87.475","87.475","89.43199999999999","89.43199999999999","89.43199999999999"
"33","49.288","49.288","49.288","73.739","73.739","73.739","77.42300000000002","77.42300000000002","77.42300000000002","87.03","87.03","87.03","87.80100000000002","87.80100000000002","87.80100000000002","87.435","87.435","87.435","89.42300000000002","89.42300000000002","89.42300000000002"
"34","50.35699999999999","50.35699999999999","50.35699999999999","74.634","74.634","74.634","77.37","77.37","77.37","87.17800000000001","87.17800000000001","87.17800000000001","87.71199999999999","87.71199999999999","87.71199999999999","87.44800000000001","87.44800000000001","87.44800000000001","89.409","89.409","89.409"
"35","50.60300000000001","50.60300000000001","50.60300000000001","73.97300000000001","73.97300000000001","73.97300000000001","76.604","76.604","76.604","87.03699999999999","87.03699999999999","87.03699999999999","87.62100000000001","87.62100000000001","87.62100000000001","87.35100000000001","87.35100000000001","87.35100000000001","89.40100000000001","89.40100000000001","89.40100000000001"
"36","52.02300000000001","52.02300000000001","52.02300000000001","72.99699999999999","72.99699999999999","72.99699999999999","76.37800000000001","76.37800000000001","76.37800000000001","87.01800000000001","87.01800000000001","87.01800000000001","87.58600000000001","87.58600000000001","87.58600000000001","87.22899999999998","87.22899999999998","87.22899999999998","89.394","89.394","89.394"
"37","50.49699999999999","50.49699999999999","50.49699999999999","74.23","74.23","74.23","75.666","75.666","75.666","87.075","87.075","87.075","87.64199999999998","87.64199999999998","87.64199999999998","87.35","87.35","87.35","89.39100000000002","89.39100000000002","89.39100000000002"
"38","52.30199999999999","52.30199999999999","52.30199999999999","73.80500000000002","73.80500000000002","73.80500000000002","76.45800000000001","76.45800000000001","76.45800000000001","86.90399999999998","86.90399999999998","86.90399999999998","87.58699999999999","87.58699999999999","87.58699999999999","87.19800000000001","87.19800000000001","87.19800000000001","89.38399999999999","89.38399999999999","89.38399999999999"
